Symbol,Name,Currency,Quantity,BuyPrice,Benchmark
AAAU,AAAU,USD,1,39.68,
BGR,BGR,USD,5,14.81,
SCHD,SCHD,USD,3,31.96,
XRPI,XRPI,USD,4,5.96,
TEVA,TEVA,USD,3,33.62,
TNYA,TNYA,USD,100,0.71,
TRON,TRON,USD,75,1.36,
TU,TU,USD,1,11.08,
VET,VET,USD,20,9.42,
XNDU,XNDU,USD,10,12.21,
YDKG,YDKG,USD,20,0.84,
ZENA,ZENA,USD,150,1.40,
NEOV,NEOV,USD,100,1.91,
NOTE,NOTE,USD,6,0.12,
NPWR,NPWR,USD,50,1.77,
NVO,NVO,USD,3,47.64,
NVTS,NVTS,USD,10,17.70,
NYXH,NYXH,USD,100,1.63,
OBAI,OBAI,USD,50,0.57,
OFAL,OFAL,USD,50,0.17,
ONEG,ONEG,USD,100,1.53,
OPAD,OPAD,USD,1,4.38,
PLTR,PLTR,USD,2,107.27,
PLUG,PLUG,USD,50,2.57,
PTLE,PTLE,USD,50,7.37,
QUBT,QUBT,USD,5,9.09,
RDGT,RDGT,USD,50,1.50,
RGTI,RGTI,USD,5,18.41,
SES,SES,USD,50,0.88,
SHLS,SHLS,USD,10,9.86,
SIF,SIF,USD,2,20.99,
SPCX,SPCX,USD,1,153.00,
STAI,STAI,USD,12,0.17,
SUIG,SUIG,USD,50,1.17,
IVVD,IVVD,USD,150,0.88,
JEM,JEM,USD,50,2.61,
KLXE,KLXE,USD,25,2.26,
KMRK,KMRK,USD,100,1.03,
LIMN,LIMN,USD,200,0.10,
MSW,MSW,USD,150,1.26,
MVST,MVST,USD,75,1.13,
MYO,MYO,USD,50,1.08,
NA,NA,USD,150,1.77,
AGIG,AGIG,USD,50,0.91,
AIIO,AIIO,USD,50,3.90,
ANPA,ANPA,USD,10,4.30,
ARQQ,ARQQ,USD,3,27.32,
ATYR,ATYR,USD,100,0.56,
BLZE,BLZE,USD,5,13.42,
BOOM,BOOM,USD,10,6.03,
GEMI,GEMI,USD,20,3.91,
GOOGL,GOOGL,USD,5,343.71,
GWH,GWH,USD,100,0.76,
HCAI,HCAI,USD,16,8.46,
HCKT,HCKT,USD,20,10.48,
HKIT,HKIT,USD,100,0.22,
HUMA,HUMA,USD,100,0.62,
ICMB,ICMB,USD,200,1.19,
IDN,IDN,USD,50,4.05,
CGTL,CGTL,USD,200,0.40,
CHAI,CHAI,USD,200,0.69,
CRE,CRE,USD,100,2.72,
DDD,DDD,USD,50,2.95,
DFTX,DFTX,USD,3,44.79,
DVLT,DVLT,USD,350,0.34,
ELPW,ELPW,USD,1,1.00,
FEAM,FEAM,USD,50,1.31,
FNGR,FNGR,USD,50,0.43,
MIGDAL-TA125,מגדל מניות ישראל 125,ILS,0,0,^TA125.TA
ESH-TA125,אש מחקה (4A) ת"א 125,ILS,0,0,^TA125.TA
HAREL-TA125,הראל מחקה ת"א 125,ILS,0,0,^TA125.TA
ATF-TA125,ATF מחקה אינדקס ת"א-125 מומנטום ענפי,ILS,0,0,^TA125.TA
HAREL-DAX,הראל מחקה DAX,ILS,0,0,^GDAXI
MIGDAL-CHINA,מגדל סין,ILS,0,0,MCHI
MIGDAL-SEMI,מגדל מניות שבבים גלובלי,ILS,0,0,SOXX
YL-SEMI,י.ל. מחקה שבבים גלובלי AI,ILS,0,0,SOXX
MTF-BTC,מו מחקה Bitcoin,ILS,0,0,BITO
MSCI-WORLD,MSCI WORLD מחקה,ILS,0,0,URTH
MOR-GLOBAL,מור מניות גלובלי,ILS,0,0,ACWI
TT-GOLD,TT LBMA GOLD,ILS,0,0,GLD
YL-CYBER,י.ל. מחקה סייבר AI,ILS,0,0,CIBR
